TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
6553,0.12,0.76,23.92,16.86,1761.5,34,38,-2.34,6.25
6554,0.12,0.76,23.92,16.86,1769.5,34,38,-2.34,6.25
6555,0.1,0.76,23.92,16.86,1769.5,34,38,-0.78,6.25
6556,0.1,0.76,23.92,16.86,1769.5,34,38,-0.78,6.25
6557,0.68,0.74,23.92,16.86,1777.25,33,38,0,6.25
6558,0.68,0.74,23.92,16.86,1777.25,33,38,0,6.25
6559,0.68,0.74,23.92,16.86,1777.25,33,38,0,6.25
6560,0.8,0.76,23.92,16.86,1785,33,38,0,6.25
6561,0.8,0.76,23.92,16.86,1785,33,38,0,6.25
6562,0.8,0.76,23.92,16.86,1785,33,38,0,6.25
6563,0.8,0.76,23.92,16.86,1789,33,38,-0.78,6.25
6564,0.8,0.76,23.92,16.86,1789,33,38,-0.78,6.25
6565,0.8,0.76,23.92,16.86,1789,33,38,-0.78,6.25
6566,0.78,0.76,23.92,16.86,1792.75,33,38,-1.56,6.25
6567,0.78,0.76,23.92,16.86,1792.75,33,38,-1.56,6.25
6568,0.78,0.76,23.92,16.86,1792.75,33,38,-1.56,6.25
6569,0.76,0.76,23.92,16.86,1796.75,33,38,-2.34,6.25
6570,0.76,0.76,23.92,16.86,1796.75,33,38,-2.34,6.25
6571,0.74,0.76,23.92,16.86,1800.75,33,38,-3.12,6.25
6572,0.74,0.76,23.92,16.86,1800.75,33,38,-3.12,6.25
6573,0.74,0.76,23.92,16.86,1800.75,33,38,-3.12,6.25
6574,0.7,0.76,23.92,16.86,1800.75,33,38,-3.91,6.25
6575,0.7,0.76,23.92,16.86,1800.75,33,38,-3.91,6.25
6576,0.7,0.76,23.92,16.86,1800.75,33,38,-3.91,6.25
6577,0.68,0.76,23.92,16.86,1804.5,33,38,-4.69,5.47
6578,0.68,0.76,23.92,16.86,1804.5,33,38,-4.69,5.47
6579,0.68,0.76,23.92,16.86,1804.5,33,38,-4.69,5.47
6580,0.28,0.76,23.53,16.86,1804.5,33,38,-4.69,5.47
6581,0.28,0.76,23.53,16.86,1804.5,33,38,-4.69,5.47
6582,0.08,0.76,23.53,16.47,1804.5,33,38,-4.69,5.47
6583,0.08,0.76,23.53,16.47,1804.5,33,38,-4.69,5.47
6584,0.08,0.76,23.53,16.47,1804.5,33,38,-4.69,5.47
6585,0.14,0.76,23.53,16.47,1804.5,32,39,-3.12,5.47
6586,0.14,0.76,23.53,16.47,1804.5,32,39,-3.12,5.47
6587,0.14,0.76,23.53,16.47,1804.5,32,39,-3.12,5.47
6588,0.7,0.76,23.53,16.47,1804.5,32,39,-2.34,5.47
6589,0.7,0.76,23.53,16.47,1804.5,32,39,-2.34,5.47
6590,0.7,0.76,23.53,16.47,1804.5,32,39,-2.34,5.47
6591,0.8,0.76,23.53,16.47,1800.75,32,39,-3.12,5.47
6592,0.8,0.76,23.53,16.47,1800.75,32,39,-3.12,5.47
6593,0.78,0.76,23.14,16.08,1796.75,32,39,-3.91,5.47
6594,0.78,0.76,23.14,16.08,1796.75,32,39,-3.91,5.47
6595,0.78,0.76,23.14,16.08,1796.75,32,39,-3.91,5.47
6596,0.76,0.76,22.75,15.69,1789,31,40,-3.91,5.47
6597,0.76,0.76,22.75,15.69,1789,31,40,-3.91,5.47
6598,0.76,0.76,22.75,15.69,1789,31,40,-3.91,5.47
6599,0.76,0.76,22.75,15.69,1773.25,30,41,-4.69,5.47
6600,0.76,0.76,22.75,15.69,1773.25,30,41,-4.69,5.47
6601,0.76,0.76,22.75,15.69,1773.25,30,41,-4.69,5.47
6602,0.76,0.76,22.75,15.69,1746,29,41,-5.47,5.47
6603,0.76,0.76,22.75,15.69,1746,29,41,-5.47,5.47
